pair_id,group,selection_rank,condition,overlap_percent,synset,lemma,cjk_token,hiragana_token,cosine_distance
49,random_true,19,overlap_100,100,cairene.n.01,cairene,刴墯貽梷,わ,0.37010693550109863
50,random_true,20,overlap_000,0,conceptnet:gentleman:1395,gentleman,魛慌,でた,0.9197104126214981
50,random_true,20,overlap_025,25,conceptnet:gentleman:1395,gentleman,魛慌,でた,0.7491436004638672
50,random_true,20,overlap_050,50,conceptnet:gentleman:1395,gentleman,魛慌,でた,0.7828366011381149
50,random_true,20,overlap_075,75,conceptnet:gentleman:1395,gentleman,魛慌,でた,0.8517741858959198
50,random_true,20,overlap_100,100,conceptnet:gentleman:1395,gentleman,魛慌,でた,0.40347349643707275
51,random_true,21,overlap_000,0,workman.n.01,workman,龞賙貺,ゎぁえ,0.6525768637657166
51,random_true,21,overlap_025,25,workman.n.01,workman,龞賙貺,ゎぁえ,0.8086041510105133
51,random_true,21,overlap_050,50,workman.n.01,workman,龞賙貺,ゎぁえ,0.5917258262634277
51,random_true,21,overlap_075,75,workman.n.01,workman,龞賙貺,ゎぁえ,0.7505408227443695
51,random_true,21,overlap_100,100,workman.n.01,workman,龞賙貺,ゎぁえ,0.4456879496574402
52,random_true,22,overlap_000,0,back.n.01,back,锏昞,よす,0.8053670227527618
52,random_true,22,overlap_025,25,back.n.01,back,锏昞,よす,0.85197813808918
52,random_true,22,overlap_050,50,back.n.01,back,锏昞,よす,0.7300073802471161
52,random_true,22,overlap_075,75,back.n.01,back,锏昞,よす,0.4487895369529724
52,random_true,22,overlap_100,100,back.n.01,back,锏昞,よす,0.4485652446746826
